k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN,vl_loc
0.0046375,0.27105,1.9658,0.002736,0.00098496,0.00010563,0.033295,0.062341,1.7732,0.00014711,0.0063459,0.94337,0.018415,0.028738,0.017963,0.002713,0.0018696,0.0022006,0.2675,3.02E-06,11.058,5.52E-05,0.031916,4.5038,0.00030922,0.093953,0.029101,1709.2,0.00015573,0.0050018,0.78464,0.0042638,0.0013653,0.028183,0.0011874,0.7534,1833.3,0.00048954,0.00078869,0.003156,0.00058792,680.75,151.66,1.0404,493.78,4.2173,9120
0.00026862,0.00082965,0.0062389,0.026163,0.027358,0.0009241,0.11657,7.0334,1.8687,0.00018348,0.1923,0.0054673,0.4303,0.017803,11.771,0.00086511,3.37E-05,0.82115,0.00021569,2.92E-06,0.19429,0.00030685,0.00095335,4.0767,0.038002,0.05067,0.27392,9.5822,0.00037217,0.0029745,0.0043999,0.0064943,0.0017626,0.00011738,0.0018485,0.22674,5.268,0.030423,0.038437,0.00019266,0.040926,1190,236.29,7.1268,113.48,4552.4,12900
2.16E-05,0.045071,0.00093582,0.064742,0.21976,8.45E-05,2.4479,2.8394,44.341,0.20821,6.7952,0.043174,0.0020319,0.00012901,0.86814,0.00061776,0.0030663,4.799,0.0054751,4.79E-08,1.3287,0.0092871,0.0011038,0.14881,0.030471,0.00055349,0.5105,565.74,0.00010068,0.49985,0.047988,2.3352,0.016728,0.00023284,0.00076493,0.00014895,14396,2.60E-05,0.012417,0.062703,0.00065132,528.33,1023.8,1.1377,326.99,12.11,11520
3.99E-06,0.28729,0.11257,0.0076446,0.04168,0.00028843,0.08966,33.274,1.5155,0.00028315,0.0089802,0.030146,0.023056,0.053997,0.015457,0.00017255,0.0084585,0.0046721,0.00037103,5.55E-08,0.95891,0.0041629,3.59E-05,2.0043,0.11226,2.2057,0.001119,417.91,0.0437,0.38376,0.008921,0.012445,0.0012624,0.00026808,1.55E-05,0.00091611,19469,0.00016113,0.00011481,0.00031652,0.00018671,19597,760.53,90.515,640.34,1899.3,10140
3.29E-05,0.0042089,0.093699,1.4067,0.23514,0.031156,0.017526,15.206,15.699,0.0030016,0.014132,0.3852,0.0017988,0.00010766,0.48696,0.0001252,0.008343,0.0048388,0.002194,1.52E-06,0.0063476,0.0052997,4.24E-05,0.24436,0.0081202,0.019363,0.0027053,161.31,0.078764,0.20638,0.028057,0.0090581,0.0016569,2.44E-05,0.00082705,0.0029128,54.932,0.057163,4.04E-05,0.56421,0.0012571,1116.5,50.588,2307.3,3063.7,36.522,4140
0.0051081,0.0049823,0.029076,0.76772,0.043325,0.065991,0.77384,0.010844,87.091,0.33762,48.948,0.34729,0.070903,1.55E-05,17.078,0.0010453,0.0023232,0.041652,0.0083679,4.73E-08,5.2097,0.0041199,9.65E-05,4.9924,0.24984,4.4136,0.00015729,808.71,0.03641,0.0022935,0.0048369,0.15005,0.00029609,0.03321,2.00E-05,0.0022111,35.157,0.00060295,3.84E-05,0.10907,0.040922,42355,104.26,473.78,31.879,2.4862,1440
7.95E-05,0.0073385,0.022089,4.8796,0.20581,0.20464,0.34683,7.9216,1.6546,0.018689,0.011879,0.49856,1.2398,0.0001515,0.01391,0.00023409,1.85E-05,0.11927,3.26E-05,6.70E-06,0.07544,0.090144,4.45E-05,0.091608,0.46064,0.00075546,0.050075,227.13,0.001562,0.12622,0.77519,0.079686,0.0026095,0.0027847,0.019065,0.78712,10996,0.00013701,2.65E-05,0.037468,0.53776,10.055,104.22,5.9272,1272.3,3.0953,6780
4.39E-05,9.43E-05,0.83528,0.021648,0.013504,0.028103,3.1034,0.0093773,25.805,0.00058242,1.3341,0.90715,0.0056962,3.14E-05,0.0081522,0.00079859,0.0023091,0.1233,0.22406,4.56E-09,0.26668,0.050021,8.76E-05,0.0031741,0.062165,0.0025002,0.0029494,382.81,3.19E-05,0.014778,0.0070458,0.0047588,5.90E-05,0.00091541,0.0058889,0.080035,21.148,1.51E-05,5.68E-06,0.01125,0.0043081,3361.6,29.771,304.06,115.88,12.174,8520
0.0027328,0.034825,3.8344,0.29383,0.035809,0.00038358,0.2962,0.16656,2.9728,0.054415,20.551,0.00040398,0.39036,0.0029337,2.074,0.17846,0.0020039,0.0027686,5.19E-05,1.80E-06,5.3411,0.015276,1.23E-05,1.8879,0.054352,0.0034512,0.00066561,6.3434,0.021472,0.54233,0.068844,0.0030188,0.00016057,0.00081102,0.010016,0.71471,6.6556,5.10E-05,0.0002704,0.0026034,0.0022625,9832.3,32.025,112.45,1366.1,34.802,17880
0.00023222,0.00012731,0.097593,0.0030309,0.26716,0.0066163,49.47,1.6655,39.442,5.38E-05,0.0082816,0.0025175,0.12271,3.59E-05,0.047232,0.00026286,0.0037932,0.076939,0.018227,9.01E-06,0.0069876,0.0027287,0.0005942,12.553,5.84E-05,0.046432,0.25509,18.641,0.012487,0.00025767,0.73711,0.35429,0.01761,0.0089771,0.049555,0.0082874,586.81,0.00088976,4.45E-05,0.00030793,0.15825,28893,702.36,1009,647.97,2806.6,3240
5.34E-06,0.52214,0.0022014,1.179,0.026329,0.093136,0.028305,1.0247,23.436,0.011314,4.0736,0.0018347,0.0040222,0.073918,13.002,0.0015386,0.0011303,0.68253,0.19324,1.96E-08,9.2965,0.12264,0.00072878,1.4037,0.0072614,0.0041565,0.056897,438.56,4.38E-05,0.0388,0.16133,9.7584,0.0027227,3.10E-05,0.00014769,0.95063,13.868,0.00047004,1.39E-05,0.76861,0.7257,790.98,190.78,2.4071,0.83723,37.32,5160
6.03E-05,0.04917,0.013238,0.0078505,0.22602,0.00026334,18.34,5.8166,11.504,0.0024619,0.016868,0.059925,0.11215,0.022599,0.093771,0.033511,5.31E-05,0.10327,0.0070807,2.54E-08,0.26831,0.020833,0.0002282,1.827,0.0011393,0.0048264,0.092833,37351,0.00052083,0.25571,0.0012087,1.3357,0.00010148,0.0019884,0.00962,0.00036134,72.074,7.59E-05,7.95E-05,0.00091132,0.93083,2057.5,0.87984,71.19,3724.2,803.03,8040
0.00019199,0.0079874,0.0011842,0.0031888,0.020269,0.21927,6.8445,23.757,6.5916,0.0006474,2.1443,0.39385,0.041836,0.00036937,1.8325,0.0011349,0.0079862,0.084566,0.0046169,3.90E-09,0.0090137,0.0012531,2.33E-05,0.0054218,0.00029863,0.014305,0.00049155,379.13,0.015822,0.044123,0.010587,0.0024639,0.0010907,0.0095967,0.00076595,0.00014243,3942,0.010985,7.77E-05,0.032838,0.0036553,65.353,7.6969,9345.9,383.95,0.7504,3600
2.49E-05,0.032268,1.8614,0.010119,6.60E-05,0.0083901,0.14746,11.577,3.7271,6.45E-05,1.3269,0.010734,0.12197,0.0011831,6.5787,0.24366,6.02E-05,4.2095,0.24393,1.11E-05,4.6442,0.0066328,5.82E-05,0.050253,0.080351,0.0028719,0.0013614,44.311,4.37E-05,0.0010961,0.00045152,0.0021198,0.037754,0.033567,0.0029505,0.80117,29070,0.06562,0.00040849,0.20368,0.12659,67455,50.042,241.13,560.96,5130.9,4380
1.28E-05,0.00099183,0.15449,5.897,0.00011122,0.00049135,0.3709,0.017374,4.3181,0.0013428,0.11568,0.00064406,0.010587,2.49E-05,0.25043,0.17348,0.075559,0.31555,0.093756,3.83E-07,6.4536,0.00026402,0.0074783,3.608,6.18E-05,0.63436,0.52761,90.854,1.81E-05,0.010717,0.00025292,0.0038682,5.20E-05,9.46E-06,0.00068558,0.0962,39915,0.0014161,0.017165,0.14611,0.00034321,2559.7,149.83,11.979,0.59071,61.42,9060
5.27E-06,0.099955,0.076887,0.0035928,0.29185,0.034686,52.749,1.0833,1.0394,0.0078898,0.62039,0.00036977,0.17902,1.80E-05,0.10914,0.014866,0.0012041,0.36594,7.05E-05,7.94E-09,10.621,0.0014471,0.092242,0.52844,0.018263,1.3575,0.0056883,36548,0.0012449,0.045416,0.0096622,0.71373,1.97E-05,0.00098716,0.010315,0.71101,3521,0.0047563,8.51E-05,0.1438,0.046618,55354,35.053,2.9151,155.16,427.02,15960
0.00086053,0.00053418,1.2153,0.010611,0.00058288,0.027686,16.052,0.46578,24.642,8.69E-05,0.0080609,1.9983,0.0046115,9.79E-05,5.69,0.081351,1.69E-05,1.2792,0.29885,3.11E-07,0.0029706,0.36129,0.00016834,0.0021112,0.0028003,1.0603,0.0053779,2602.5,0.006654,0.01641,0.074207,0.021304,0.023767,1.03E-05,5.22E-05,0.1283,167.24,6.47E-05,0.0002749,0.0072909,0.00014611,2492,16.584,2.8107,57.049,162.83,4920
2.29E-05,0.00029087,0.4321,0.20211,0.25495,0.00039312,2.047,7.4536,6.8405,0.042643,0.019286,0.023276,0.0041322,0.037021,0.02305,0.023829,5.86E-05,7.8237,0.068633,2.16E-07,1.1641,0.017421,2.43E-05,0.013506,0.0057135,4.5942,0.11513,62.705,1.34E-05,0.032269,1.1828,0.322,0.00019303,8.18E-06,1.05E-05,0.00014507,45.134,1.67E-05,0.024043,0.18398,0.095972,233.53,0.78372,953.18,1618.2,0.74419,6180
5.87E-06,0.0014382,0.067018,0.34438,0.31406,0.43593,0.74621,0.06104,3.5856,0.00060604,0.30651,0.00072404,7.7454,2.79E-05,2.3562,0.00016872,0.0016854,0.047933,0.0011858,1.07E-08,0.04447,0.0051307,0.00016978,1.1261,7.79E-05,0.0015106,0.0003183,6340.3,0.069287,0.0014124,1.7427,0.068608,0.001332,8.15E-06,0.018808,0.0025971,2797.1,0.060208,0.00050187,0.0024379,0.0016531,12.993,2.227,19.646,28.787,1442.5,13620
3.47E-05,0.067747,0.14317,0.011972,0.0081811,0.00036866,0.63671,3.122,3.2636,0.087682,0.024065,0.13046,0.0025675,1.39E-05,0.021462,0.00013439,0.00021254,1.0981,0.0078538,1.91E-06,0.026467,0.0001837,0.010877,0.48155,0.10518,0.037776,0.1815,33.714,0.0062218,0.45171,0.24556,0.0036794,0.00059748,0.00098731,1.43E-05,0.21575,77.424,0.059832,0.00016096,0.1069,0.00021806,2934.4,18.483,2.1264,81.456,175.29,10920
0.0036125,0.00013197,0.0005571,0.0071133,0.31377,0.00035168,0.3553,10.929,3.2149,0.47048,0.052675,0.0034528,0.0055045,0.0016992,0.46411,0.0037311,0.00086668,7.2717,0.078587,8.30E-07,0.42089,0.00057096,2.92E-05,0.0064222,0.01782,0.34709,0.018461,44.546,0.067434,0.0023156,0.0026071,0.0053001,0.015355,0.00074261,0.0011468,0.081058,1037.1,0.00036835,0.0001868,0.00014487,0.018793,63848,4.4602,41.876,579.41,18.155,10020
5.22E-05,0.0095504,0.73022,18.061,0.00020701,0.00013794,0.084996,1.4734,1.7057,0.0014624,0.0061726,0.0023123,0.08984,0.00029512,3.2066,0.0026335,0.00021477,13.002,0.00026381,6.50E-09,0.0085397,0.0027721,1.05E-05,0.0088298,0.25185,0.24198,0.68969,10572,0.00080424,0.37743,0.01883,0.38803,0.0010632,0.0045276,0.04047,0.0028381,10976,0.00034414,5.06E-05,0.56373,0.00072201,87275,13.948,3013.8,0.74331,1355.2,8580
0.00019692,0.0084787,0.011027,1.5023,0.00034768,0.033951,0.92923,19.34,15.781,0.09269,0.020006,0.073638,1.4825,0.014084,0.09577,0.00019978,0.00053336,1.0386,0.0037078,3.39E-06,4.3087,0.0037233,0.00044924,14.236,0.00030082,0.0013144,0.2768,46.646,0.0017206,0.00051445,0.014053,1.3278,9.88E-06,0.0001569,7.33E-06,0.0046511,4.6234,0.00051083,1.30E-05,0.00010395,0.78039,58.733,875.82,885.96,3481.9,328.31,2760
0.00024834,0.066831,0.56846,0.0069867,0.0018636,0.001641,1.4243,0.061076,9.5527,0.33591,0.17386,0.0014634,0.10426,0.0016877,0.47971,0.22046,0.037411,3.002,0.0024249,1.43E-07,4.8611,0.011143,0.00077232,0.0050085,7.61E-05,0.6347,0.19683,520.73,0.00019489,0.031727,0.003437,0.24094,7.29E-05,9.08E-05,6.27E-05,0.0006901,13.109,0.019268,0.030598,0.57535,0.026668,2170.1,3.0481,2.823,82.89,2.368,3480
0.00014091,0.00089178,0.00085461,0.093829,0.18945,0.042458,29.607,38.755,4.3352,0.0001884,22.97,0.71906,0.035302,8.26E-05,0.01424,0.29899,1.06E-05,0.0063757,0.099229,7.73E-07,0.0038613,0.20942,0.0016331,0.95498,0.00027983,0.0059569,0.0061837,9173.3,0.0029433,0.51062,0.17299,0.016191,0.0013381,0.00016487,0.00027036,0.0023495,178.91,2.56E-05,0.00012415,0.28343,0.51793,38.305,1.801,8.4415,8.9598,3372.3,5640
0.00019971,0.008674,0.27443,0.071743,0.015628,0.077367,45.92,1.0676,50.81,5.87E-05,0.50896,0.78405,0.12454,0.0038819,0.27353,0.025758,0.031214,3.8005,0.014872,5.31E-08,0.02208,0.0099431,0.0002856,0.66295,0.00083474,0.016059,0.0072931,418.66,0.0025154,0.017344,0.036496,0.085847,0.023319,7.46E-06,5.36E-06,0.12797,4.5195,1.20E-05,0.01489,0.20872,0.0001581,91881,334.06,1913.8,3574.3,0.71224,1860
1.31E-06,0.11121,0.0008492,0.1049,0.020702,0.0095847,0.0089438,0.34501,75.035,0.02517,1.754,0.0028714,0.0019268,1.02E-05,0.11796,0.022317,0.0045244,2.3453,0.00010463,1.05E-06,0.032811,0.19592,0.00077756,0.43673,0.15169,0.0005914,0.0020973,690.86,0.00018235,0.55765,0.028534,0.0044315,0.018967,7.15E-05,8.01E-06,0.25267,34.132,0.0070618,1.13E-05,0.69401,0.17485,2244.8,18.466,7768.2,98.065,132.62,16440
0.00089895,0.010496,0.0010389,3.1208,0.00010395,0.25241,0.0082322,1.5557,8.7963,0.0010004,1.5167,0.0010408,0.0062081,1.78E-05,0.013334,3.54E-05,0.0001105,0.030093,0.0065238,7.37E-06,0.20333,0.00010104,0.00012598,0.14076,0.0039584,0.013405,0.015372,20185,0.018915,0.010372,0.041275,0.0037586,0.0067286,5.64E-05,0.0080642,0.0092268,2161.8,0.0020912,0.021747,0.99753,0.18201,50.457,894.73,69.05,752.31,33.794,5820
0.00017947,8.72E-05,0.077035,0.0052551,0.14243,0.0084815,2.621,0.0052965,20.98,0.0015254,0.30057,0.019602,0.015017,1.67E-05,0.6271,0.00070598,4.41E-05,0.13802,3.31E-05,6.31E-09,0.017159,0.19218,0.0010452,0.037463,0.33249,0.14864,0.0026172,8.2618,0.00047626,0.25405,1.7651,4.7088,0.00072147,0.0044393,2.46E-05,0.074762,4.3893,0.005712,7.03E-05,0.020201,0.86974,7395.6,568.92,6.6172,118.88,175.78,1440
3.96E-05,0.00023414,0.71039,0.011168,0.0037028,0.012672,0.19788,0.0045335,5.0523,0.080983,0.56879,0.00024539,0.0010495,0.00031345,1.9487,7.29E-05,6.35E-05,14.638,0.00057775,3.04E-09,0.2752,0.13285,0.0011666,0.08381,0.06533,0.063164,0.00014311,848.25,0.026379,0.00027064,0.00055893,0.80449,9.94E-06,0.018067,4.44E-05,0.25426,387.77,0.049518,1.66E-05,0.47375,0.25646,477.81,10.48,19.505,0.53324,1210.7,3720
2.96E-05,0.00011978,0.1934,0.33147,0.0011957,0.053882,16.571,37.984,36.552,0.0022875,0.36642,0.031915,0.019884,0.0055864,1.8655,0.00019857,0.00010683,0.79867,0.16922,1.96E-06,0.98576,0.11785,0.00098581,1.7891,0.017996,0.00129,0.91219,9.5672,0.0019028,0.001071,0.041981,0.78401,0.00011657,0.00099708,0.00024377,0.0026994,13739,0.0022787,1.41E-05,0.001111,0.20957,86.838,58.383,1.3395,1087.5,410.94,6060
1.12E-06,0.038278,0.001313,0.12343,0.00012443,0.01183,0.026958,2.2926,1.2688,0.0054168,3.442,0.022231,0.13345,0.053547,0.38508,0.004266,0.0034031,0.049962,0.030788,5.26E-06,0.24651,0.0032251,0.034948,14.926,0.085333,0.17911,0.40836,487.5,0.038264,0.8259,0.022654,0.002133,0.00067373,0.034166,0.0028884,0.8364,2821.1,0.00020896,0.0006871,0.0002764,0.015295,48.911,705.87,1.1135,25.544,15.973,5580
0.00064971,0.00036258,0.045319,0.0034025,0.12857,0.053932,0.23038,0.6496,97.532,0.030012,0.088989,0.0027133,0.010747,0.0008245,0.65145,9.21E-05,0.00030338,1.5921,0.0012628,1.94E-05,3.8952,0.00019191,0.03958,7.724,0.0050797,0.78304,0.00027033,23397,0.00027744,0.00013045,0.00023123,1.6821,1.06E-05,2.27E-05,0.0023575,0.89576,506.99,0.084672,4.26E-05,0.14144,0.0023926,497.16,323.19,4.9075,17.092,286.66,13320
0.0035316,0.0020714,2.4577,3.1949,0.00018119,0.00083486,0.61527,15.693,6.7711,7.02E-05,3.3398,0.0042329,0.011203,0.0010177,0.36901,0.00018062,0.00081211,7.7495,0.00022528,7.31E-09,1.4192,0.017824,0.0077147,4.1628,0.047505,0.82848,0.0021005,819.65,1.45E-05,0.00016321,0.0006991,0.064694,4.92E-05,1.25E-05,9.35E-05,0.41152,29260,0.00037988,0.00078491,0.44428,0.094566,2612,877.73,9.9053,431.86,674.7,1860
7.27E-05,0.0055741,0.85316,6.2796,0.0051333,0.04881,5.5087,15.266,2.2878,0.035237,0.44746,0.0041281,0.17623,0.0017187,0.041715,7.42E-05,0.0020801,4.766,0.048093,2.73E-09,0.63197,0.019637,0.00027993,15.74,0.00071493,0.0047114,0.00044475,2170.5,0.00026615,0.00043602,0.018465,3.6066,0.0048184,0.0011724,5.79E-05,0.0016752,508.69,2.82E-05,0.0079524,0.0004064,0.0029257,89001,0.36404,4363.8,3599.6,171.25,12720
